EN	CN
Manual Split	手动分割
Ability	能力
Area (Enter)	区域(进入)
Area (Leave)	区域(离开)
Boss Fight	Boss战
Creep Heart	蠕动的心
Energy Cell	能量核心碎片
Game Start	游戏开始
Game End	游戏结束
Health Cell	生命核心碎片
Hitbox	碰撞箱
Keystone	楔石
Map %	地图完成度
Ore	矿石
Race State	比赛状态
Race Has Started	比赛已开始
Race Has Finished	比赛已完成
Race Has Started Auto Reset	比赛已开始自动重置
Race Has Finished Auto Stop	比赛已开始自动停止
Seed	种子
Shard	碎片
Spirit Trial	精灵试炼
Teleporter	传送点
Wisp	精灵之光
World Event	世界事件
Keystone Door	楔石门
Bash	猛击
Blaze	烈焰
Burrow	挖掘
Damage Upgrade Seed Tree	伤害提升(种子树)
Damage Upgrade Midnight Burrows	伤害提升(午夜地穴)
Dash	冲刺
Double Jump	二段跳
Fast Travel	任意门
Feather	羽毛
Flap	扇动
Flash	闪光
Grapple	抓钩
Launch	炮弹跳跃
Light Burst	灵光迸射
Regenerate	恢复
Seir	西珥
Sentry	哨卫
Spike	光矛
Spirit Arc	精灵弧击
Spirit Edge	精灵之刃
Spirit Smash	精灵猛击
Spirit Star	精灵之星
Torch	火把
Water Breath	水之呼吸
Water Dash	水中冲刺
Baurs Reach	鲍尔之触
Inkwater Marsh	水墨沼泽
Kwoloks Hollow	夸洛克洞穴
Luma Pools	光之池
Midnight Burrows	午夜地穴
Mouldwood Depths	沃林深处
Silent Woods	静谧森林
The Wellspring	源泉
Watermill	水磨坊
Weeping Ridge	哭泣山脊
Wellspring Glades	源泉林中空地？
Willows End	灵树之末
Shrieks Room	史雷克房间
Windswept Wastes	狂风荒漠
Windtorn Ruins	风袭废墟
Howl Start	豪尔开始
Howl Defeated	豪尔击败
Hornbug Start	角甲虫开始
Hornbug Defeated	角甲虫击败
Kwolok Start	夸洛克开始
Kwolok Defeated	夸洛克击败
Mora Start	莫拉开始
Mora Defeated	莫拉击败
Weeping Ridge Elevator Finished	哭泣山脊电梯完成
Willow Stone Start	灵树魔石开始
Willow Stone Defeated	灵树魔石击败
Shriek Start	史雷克开始
Shriek Defeated	史雷克击败
Opened Keystone Door	打开楔石门
Put In Keystone	放入楔石
Full Map	全地图
Baurs Reach (Spring)	鲍尔之触(春天)
Luma Pools (Grass)	光之池(草)
Mouldwood Depths (Bash)	沃林深处(猛击)
Silent Woods (Tree)	静谧森林(树)
The Wellspring (Grapple)	源泉(抓钩)
Windswept Wastes (Flowers)	狂风荒漠(花)
Arcing	电弧
Bounty	恩赐
Catalyst	催化
Deflector	偏转器
Energy	能量
Energy Harvest	能量收割
Finesse	巧劲
Fracture	分裂
Last Stand	背水一战
Life Harvest	生命收割
Life Pact	生命契约
Lifeforce	生命之力
Light Harvest	灵光收割
Magnet	磁力
Overcharge	超载
Overflow	充盈
Quickshot	高速射击
Reckless	鲁莽
Resilience	韧性
Secret	奥秘
Splinter	散射
Spirit Surge	精灵澎湃
Sticky	吸力
Swap	交换
Thorn	荆棘
Triple Jump	三段跳
Turmoil	混乱
Ultra Bash	超级猛击
Ultra Grapple	超级抓钩
Vitality	活力
Wingclip	剪羽
Activate	激活
Complete	完成
Activated	激活
Teleported To	传送到
Howls Den	豪尔的巢穴
Intro	前部
Mid	中部
Luma Pools End	光之池末尾
Entrance	入口
Ku	库
Voice of the Forest	森林之声
Memory of the Forest	森林之记忆
Eyes of the Forest	森林之眼
Strength of the Forest	森林之力
Heart of the Forest	森林之心
Desert Escape (Start)	风袭废墟逃亡(开始)
Desert Escape (End)	风袭废墟逃亡(结束)
Ku Obtained	库(获得)
Ku Lost	库(失去)
Silent Woods Shriek Cutscene	静谧森林史雷克过场动画
Watermill Escape (Start)	源泉逃亡(开始)
Watermill Escape (End)	源泉逃亡(结束)
Water Purified (So Soggy)	水被净化(如此泥泞)
Winter Forest Escape (Start)	雪崩逃亡(开始)
Winter Forest Escape (End)	雪崩逃亡(结束)
